================= Perf Change Summary =================

----------------- Regressions -----------------

----------------- >= 2x slower -----------------
+------------+-----------+------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|  Model ID  | Precision |    Component     |              Device             | Runtime | Prev Inference time | New Inference time |     Kx slower      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
|       detr_resnet50       |  w8a16_mixed_fp16 |       DETR-ResNet50       |      Dragonwing IQ-9075 EVK     |      qnn_dlc       |         -inf        |       38.908       |    inf    | j5w1339jg |       null      |      null      |           null          |
|       detr_resnet50       |  w8a16_mixed_fp16 |       DETR-ResNet50       |        Samsung Galaxy S26       |      qnn_dlc       |         -inf        |       16.934       |    inf    | jpxd66yjg |       null      |      null      |           null          |
|     detr_resnet50_dc5     | w8a16_mixed_int16 |     DETR-ResNet50-DC5     |        Samsung Galaxy S24       |      qnn_dlc       |         -inf        |       38.091       |    inf    | jp1vww8kp |       null      |      null      |           null          |
|     detr_resnet50_dc5     | w8a16_mixed_int16 |     DETR-ResNet50-DC5     |        Samsung Galaxy S25       |      qnn_dlc       |         -inf        |       33.43        |    inf    | jg9xyy4vg |       null      |      null      |           null          |
|     detr_resnet50_dc5     | w8a16_mixed_int16 |     DETR-ResNet50-DC5     |      Dragonwing IQ-9075 EVK     |      qnn_dlc       |         -inf        |       49.582       |    inf    | jp0v22eeg |       null      |      null      |           null          |
|     detr_resnet50_dc5     | w8a16_mixed_int16 |     DETR-ResNet50-DC5     |        Samsung Galaxy S26       |      qnn_dlc       |         -inf        |       22.932       |    inf    | j577lljr5 |       null      |      null      |           null          |
|    efficientvit_b2_cls    |       float       |    EfficientViT-b2-cls    |      Samsung Galaxy S22 5G      |       tflite       |         -inf        |       7.222        |    inf    | jp49dvev5 |       null      |      null      |           null          |
|          eyegaze          |       w8a16       |          EyeGaze          |        Samsung Galaxy S24       |      qnn_dlc       |         -inf        |       0.884        |    inf    | jpelw94og |       null      |      null      |           null          |
|          eyegaze          |       w8a16       |          EyeGaze          |      Dragonwing IQ-9075 EVK     |      qnn_dlc       |         -inf        |       1.446        |    inf    | j5md6rod5 |       null      |      null      |           null          |
|          eyegaze          |       w8a16       |          EyeGaze          |        Samsung Galaxy S26       |      qnn_dlc       |         -inf        |       0.563        |    inf    | jg9xyv8wg |       null      |      null      |           null          |
|          eyegaze          |       w8a16       |          EyeGaze          |     Snapdragon X2 Elite CRD     |      qnn_dlc       |         -inf        |       0.807        |    inf    | jp84mo8k5 |       null      |      null      |           null          |
